ZipCode,City,State,Latitude,Longitude,Classification,Population
75476,RAVENNA,TX,33.7061,-96.2432,,1214
75477,ROXTON,TX,33.5383,-95.7508,,854
75478,SALTILLO,TX,33.2092,-95.3747,,1006
75479,SAVOY,TX,33.6007,-96.3194,,1861
75480,SCROGGINS,TX,33.0218,-95.1887,,1582
75481,SULPHUR BLUFF,TX,33.3289,-95.3631,,389
75485,WESTMINSTER,TX,33.3624,-96.4635,P,0
75486,SUMNER,TX,33.785,-95.6886,,2698
75487,TALCO,TX,33.3359,-95.171,,1511
75488,TELEPHONE,TX,33.8098,-96.0162,,1144
75489,TOM BEAN,TX,33.5243,-96.4836,P,1028
75490,TRENTON,TX,33.4004,-96.3278,,2809
75492,WINDOM,TX,33.5676,-95.998,,562
75493,WINFIELD,TX,33.1439,-95.0678,P,497
75495,VAN ALSTYNE,TX,33.4283,-96.5463,,9061
75496,WOLFE CITY,TX,33.3215,-96.055,,3438
75497,YANTIS,TX,32.8953,-95.5269,,3679
75501,TEXARKANA,TX,33.3672,-94.2356,,36423
75503,TEXARKANA,TX,33.5172,-94.1302,,25547
75504,TEXARKANA,TX,33.425,-94.0478,P,0
75505,TEXARKANA,TX,33.425,-94.0478,P,0
75507,TEXARKANA,TX,33.425,-94.0478,U,0
75550,ANNONA,TX,33.5037,-94.895,,602
75551,ATLANTA,TX,33.0985,-94.1595,,10372
75554,AVERY,TX,33.57,-94.7834,,1530
75555,BIVINS,TX,32.9598,-94.1531,,1719
75556,BLOOMBURG,TX,33.1559,-94.0639,,1131
75558,COOKVILLE,TX,33.2491,-94.8588,,1518
75559,DE KALB,TX,33.4814,-94.5786,,5472
75560,DOUGLASSVILLE,TX,33.205,-94.3549,,920
75561,HOOKS,TX,33.4818,-94.2955,,4875
75562,KILDARE,TX,32.9468,-94.2539,P,116
75563,LINDEN,TX,33.003,-94.3883,,3794
75564,LODI,TX,32.8718,-94.273,P,9
75565,MC LEOD,TX,32.951,-94.0809,P,106
75566,MARIETTA,TX,33.1546,-94.4899,,676
75567,MAUD,TX,33.3305,-94.3046,,3770
75568,NAPLES,TX,33.1993,-94.5906,,2939
75569,NASH,TX,33.4433,-94.1319,,3338
75570,NEW BOSTON,TX,33.4548,-94.45,,11315
75571,OMAHA,TX,33.2231,-94.7697,,2607
75572,QUEEN CITY,TX,33.2175,-94.1492,,3387
75573,REDWATER,TX,33.349,-94.2647,P,275
75574,SIMMS,TX,33.3318,-94.5582,,1695
75599,TEXARKANA,TX,33.4453,-94.0789,U,0
75615,LONGVIEW,TX,32.5006,-94.7405,P,0
75630,AVINGER,TX,32.8668,-94.5694,,2650
75636,CASON,TX,33.024,-94.8242,P,0
75637,CLAYTON,TX,32.0984,-94.4747,P,0
75638,DAINGERFIELD,TX,33.0388,-94.7366,,5434
75639,DE BERRY,TX,32.2773,-94.1953,,2716
75640,DIANA,TX,32.7124,-94.6953,,5438
75641,EASTON,TX,32.3855,-94.5535,P,139
75642,ELYSIAN FIELDS,TX,32.3685,-94.1826,P,194
75643,GARY,TX,32.0095,-94.359,,2046
75644,GILMER,TX,32.7749,-94.9891,,11720
75645,GILMER,TX,32.6862,-94.8936,,10724
75651,HARLETON,TX,32.6713,-94.5019,,2075
75656,HUGHES SPRINGS,TX,33.0386,-94.5987,,4558
75657,JEFFERSON,TX,32.7756,-94.3552,,7923
75658,JOINERVILLE,TX,32.1779,-94.9009,P,210
75659,JONESVILLE,TX,32.4979,-94.1105,P,59
75660,JUDSON,TX,32.5826,-94.7535,P,0
75661,KARNACK,TX,32.6395,-94.1674,,2381
75666,LAIRD HILL,TX,32.3532,-94.9055,P,0
75667,LANEVILLE,TX,31.9583,-94.8451,,1227
75668,LONE STAR,TX,32.9307,-94.7049,,1672
75669,LONG BRANCH,TX,32.0342,-94.5072,,589
75680,MINDEN,TX,32.1531,-94.7993,P,14
75681,MOUNT ENTERPRISE,TX,31.9358,-94.6431,,2674
75683,ORE CITY,TX,32.8087,-94.7292,,3773
75685,PANOLA,TX,32.3555,-94.0955,P,0
75686,PITTSBURG,TX,32.9843,-94.9275,,13293
75687,PRICE,TX,32.1176,-94.9899,P,7
75688,SCOTTSVILLE,TX,32.5405,-94.2383,P,0
75689,SELMAN CITY,TX,32.1751,-94.9519,P,212
75692,WASKOM,TX,32.4728,-94.1195,,5098
75693,WHITE OAK,TX,32.5372,-94.8596,,6512
75694,WOODLAWN,TX,32.6684,-94.3456,P,0
75752,ATHENS,TX,32.2494,-95.8121,,7439
75754,BEN WHEELER,TX,32.4248,-95.6514,,6632
75755,BIG SANDY,TX,32.6316,-95.0929,,5250
75758,CHANDLER,TX,32.2532,-95.5535,,9890
75759,CUNEY,TX,32.0416,-95.4199,P,122
75764,GALLATIN,TX,31.8884,-95.1506,P,178
75765,HAWKINS,TX,32.6625,-95.2541,,7728
75772,MAYDELLE,TX,31.8006,-95.3025,P,0
75773,MINEOLA,TX,32.6642,-95.4704,,13559
75779,NECHES,TX,31.8667,-95.4958,P,80
75780,NEW SUMMERFIELD,TX,31.9808,-95.0939,P,481
75782,POYNOR,TX,32.0796,-95.5938,P,85
75783,QUITMAN,TX,32.7939,-95.4261,,7763
75784,REKLAW,TX,31.8783,-94.9632,,542
75789,TROUP,TX,32.0538,-95.1509,,8045
75792,WINONA,TX,32.4749,-95.107,,3595
75797,BIG SANDY,TX,32.5872,-95.1147,U,0
75798,TYLER,TX,32.3351,-95.2829,U,0
75832,CAYUGA,TX,31.9566,-95.9746,P,0
75834,CENTRALIA,TX,31.2579,-95.0399,,0
75838,DONIE,TX,31.483,-96.23,,525
75847,KENNARD,TX,31.3429,-95.1067,,1547
75848,KIRVIN,TX,31.8231,-96.3217,P,88
75849,LATEXO,TX,31.4064,-95.472,P,95
