Domain,Expected Mailboxes,Actual Mailboxes,All Mailboxes Burnt,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
nicksakhainsurancepros.com,0,3,3,1202,3,0.25,TRANSFER
homepolicytx.info,3,2,2,2074,5,0.24,TRANSFER
homepolicyagency.info,3,1,1,1043,3,0.29,TRANSFER
homepolicyusa.info,3,2,2,2094,4,0.19,TRANSFER
homepolicyadvisors.info,3,1,1,1048,3,0.29,TRANSFER
